th_train,th_valid,seed,sample_ratio,spearman,pearson,rmse
10,1,8964,1.0,0.6918,0.4784,0.2267
10,2,8964,1.0,0.7656,0.5861,0.1977
10,3,8964,1.0,0.8159,0.6658,0.1752
10,4,8964,1.0,0.8411,0.7075,0.1627
10,5,8964,1.0,0.8497,0.722,0.1583
3,1,8964,1.0,0.6274,0.3934,0.2492
3,2,8964,1.0,0.7021,0.4929,0.2228
3,3,8964,1.0,0.7487,0.5606,0.2047
3,4,8964,1.0,0.7933,0.6293,0.1856
3,5,8964,1.0,0.8012,0.642,0.182
4,1,8964,1.0,0.6279,0.394,0.2491
4,2,8964,1.0,0.6908,0.4772,0.227
4,3,8964,1.0,0.728,0.53,0.2129
4,4,8964,1.0,0.7715,0.5952,0.1952
4,5,8964,1.0,0.786,0.6178,0.1889
5,1,8964,1.0,0.596,0.355,0.2595
5,2,8964,1.0,0.6587,0.4339,0.2385
5,3,8964,1.0,0.7342,0.5391,0.2105
5,4,8964,1.0,0.7627,0.5817,0.1989
5,5,8964,1.0,0.778,0.6053,0.1924
