th_train,th_valid,seed,sample_ratio,spearman,pearson,rmse
10,1,8964,1.0,0.5134,0.2632,0.2847
10,2,8964,1.0,0.603,0.3636,0.2571
10,3,8964,1.0,0.6737,0.4538,0.2331
10,4,8964,1.0,0.6861,0.4707,0.2287
10,5,8964,1.0,0.7046,0.4965,0.2218
3,1,8964,1.0,0.5352,0.2859,0.2783
3,2,8964,1.0,0.6377,0.4066,0.2456
3,3,8964,1.0,0.6855,0.4699,0.2289
3,4,8964,1.0,0.7318,0.5355,0.2114
3,5,8964,1.0,0.7436,0.553,0.2067
4,1,8964,1.0,0.5219,0.272,0.2822
4,2,8964,1.0,0.6335,0.4013,0.247
4,3,8964,1.0,0.7028,0.4939,0.2225
4,4,8964,1.0,0.7142,0.5101,0.2182
4,5,8964,1.0,0.7394,0.5466,0.2084
5,1,8964,1.0,0.5124,0.2622,0.285
5,2,8964,1.0,0.6358,0.4042,0.2463
5,3,8964,1.0,0.6791,0.4611,0.2312
5,4,8964,1.0,0.712,0.5069,0.219
5,5,8964,1.0,0.7352,0.5405,0.21
